"","Code","Date","Time.x","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Hour","Time Category","datetime","datetime_floor","Time.y","temperature_2m","precipitation"
"1","EUAC",2024-11-28,12:13:00,"Thursday","VICTORIA PARK STATION",37,41,"E","BD",5147,"Air Conditioning",12,"Non-Peak",NA,NA,"12:00",2.3,0.2
"2","EUAC",2024-06-24,16:36:00,"Monday","EGLINTON WEST STATION",3,6,"S","YU",5916,"Air Conditioning",16,"Peak",NA,NA,"16:00",19.8,0
"3","EUAC",2024-09-29,20:58:00,"Sunday","DUPONT STATION",6,12,"N","YU",5831,"Air Conditioning",20,"Non-Peak",NA,NA,"20:00",19.1,0
"4","EUAC",2024-09-21,17:59:00,"Saturday","OSGOODE STATION",6,12,"S","YU",5681,"Air Conditioning",17,"Peak",NA,NA,"17:00",20.2,0
"5","EUAC",2024-01-16,06:49:00,"Tuesday","KIPLING STATION",3,5,"E","BD",5169,"Air Conditioning",6,"Non-Peak",NA,NA,"06:00",-8.2,0
"6","EUAC",2024-06-07,12:50:00,"Friday","FINCH STATION",5,10,"S","YU",5576,"Air Conditioning",12,"Non-Peak",NA,NA,"12:00",14.5,0
"7","EUAC",2024-03-18,07:43:00,"Monday","KENNEDY BD STATION",3,6,"E","BD",5139,"Air Conditioning",7,"Peak",NA,NA,"07:00",-0.2,0
"8","EUAC",2024-07-05,10:58:00,"Friday","KENNEDY BD STATION",4,8,"W","BD",5129,"Air Conditioning",10,"Non-Peak",NA,NA,"10:00",18.2,0
"9","EUAC",2024-05-27,06:54:00,"Monday","VAUGHAN MC STATION",3,6,"S","YU",5646,"Air Conditioning",6,"Non-Peak",NA,NA,"06:00",14.5,5
"10","EUAC",2024-10-02,07:50:00,"Wednesday","YORK MILLS STATION",3,6,NA,"YU",5831,"Air Conditioning",7,"Peak",NA,NA,"07:00",13.9,0.9
"11","EUAC",2024-08-27,14:52:00,"Tuesday","KENNEDY BD STATION",4,8,"W","BD",5268,"Air Conditioning",14,"Non-Peak",NA,NA,"14:00",20.4,0
"12","EUAC",2024-05-04,20:03:00,"Saturday","ST CLAIR WEST STATION",4,9,"S","YU",5766,"Air Conditioning",20,"Non-Peak",NA,NA,"20:00",8.5,0
"13","EUAC",2024-01-06,19:59:00,"Saturday","KIPLING STATION",5,10,"E","BD",5052,"Air Conditioning",19,"Non-Peak",NA,NA,"19:00",1.7,0
"14","EUAC",2024-05-21,05:44:00,"Tuesday","FINCH STATION",4,8,"S","YU",5686,"Air Conditioning",5,"Non-Peak",NA,NA,"05:00",12.8,0
"15","EUAC",2024-07-28,11:54:00,"Sunday","FINCH STATION",0,0,"S","YU",5651,"Air Conditioning",11,"Non-Peak",NA,NA,"11:00",21,0
"16","EUAC",2024-09-16,08:46:00,"Monday","SHEPPARD WEST STATION",3,5,"S","YU",6051,"Air Conditioning",8,"Peak",NA,NA,NA,NA,NA
"17","EUAC",2024-05-27,13:04:00,"Monday","FINCH STATION",5,10,"S","YU",5766,"Air Conditioning",13,"Non-Peak",NA,NA,"13:00",14.3,1.4
"18","EUAC",2024-05-21,15:47:00,"Tuesday","SHEPPARD WEST STATION",3,6,"S","YU",5761,"Air Conditioning",15,"Peak",NA,NA,"15:00",12.2,0
"19","EUAC",2024-05-12,22:14:00,"Sunday","WILSON STATION",6,12,"S","YU",6101,"Air Conditioning",22,"Non-Peak",NA,NA,"22:00",9.9,0
"20","EUAC",2024-03-18,07:00:00,"Monday","KIPLING STATION",3,6,"E","BD",5139,"Air Conditioning",7,"Peak",NA,NA,"07:00",-0.2,0
"21","EUAC",2024-05-30,17:22:00,"Thursday","KENNEDY BD STATION",3,6,"W","BD",5125,"Air Conditioning",17,"Peak",NA,NA,"17:00",15.2,0
"22","EUAC",2024-05-01,16:03:00,"Wednesday","YORK MILLS STATION",11,14,"N","BD",5421,"Air Conditioning",16,"Peak",NA,NA,"16:00",5.4,0
"23","EUAC",2024-02-05,01:13:00,"Monday","KENNEDY BD STATION",5,10,"E","BD",5041,"Air Conditioning",1,"Non-Peak",NA,NA,"01:00",0.9,0
"24","EUAC",2024-08-02,11:02:00,"Friday","KENNEDY BD STATION",4,8,"E","BD",5261,"Air Conditioning",11,"Non-Peak",NA,NA,"11:00",23.7,0
"25","EUAC",2024-10-01,07:11:00,"Tuesday","BLOOR STATION",8,12,"N","YU",5836,"Air Conditioning",7,"Peak",NA,NA,"07:00",18.3,0
"26","EUAC",2024-05-22,17:35:00,"Wednesday","QUEEN STATION",5,8,"S","YU",6071,"Air Conditioning",17,"Peak",NA,NA,"17:00",16.5,0.2
"27","EUAL",2024-10-10,13:43:00,"Thursday","COXWELL STATION",4,8,"W","BD",5262,"Alternating Current",13,"Non-Peak",NA,NA,"13:00",7.7,0
"28","EUAL",2024-10-03,08:54:00,"Thursday","KENNEDY BD STATION",3,5,"W","BD",5059,"Alternating Current",8,"Peak",NA,NA,NA,NA,NA
"29","EUAL",2024-07-09,05:47:00,"Tuesday","KIPLING STATION",7,14,"E","BD",5294,"Alternating Current",5,"Non-Peak",NA,NA,"05:00",21.1,0
"30","EUAL",2024-01-16,07:00:00,"Tuesday","CHESTER STATION",3,5,"E","BD",5262,"Alternating Current",7,"Peak",NA,NA,"07:00",-9.1,0
"31","EUAL",2024-05-05,11:10:00,"Sunday","BROADVIEW STATION",0,0,"W","BD",5362,"Alternating Current",11,"Non-Peak",NA,NA,"11:00",8.4,0.4
"32","EUATC",2024-09-30,08:46:00,"Monday","LAWRENCE STATION",0,0,"N","YU",5776,"ATC RC&S Equipment",8,"Peak",NA,NA,NA,NA,NA
"33","EUATC",2024-05-02,08:13:00,"Thursday","FINCH STATION",3,6,"S","YU",6041,"ATC RC&S Equipment",8,"Peak",NA,NA,NA,NA,NA
"34","EUATC",2024-12-09,19:17:00,"Monday","SHEPPARD WEST STATION",8,12,"S","YU",6001,"ATC RC&S Equipment",19,"Non-Peak",NA,NA,"19:00",4.1,0.5
"35","EUATC",2024-01-17,06:42:00,"Wednesday","FINCH STATION",4,7,"S","YU",5661,"ATC RC&S Equipment",6,"Non-Peak",NA,NA,"06:00",-10,0
"36","EUATC",2024-09-30,09:10:00,"Monday","LAWRENCE STATION",0,0,"S","YU",5771,"ATC RC&S Equipment",9,"Peak",NA,NA,NA,NA,NA
"37","EUATC",2024-02-13,08:55:00,"Tuesday","UNION STATION",4,7,"N","YU",5626,"ATC RC&S Equipment",8,"Peak",NA,NA,NA,NA,NA
"38","EUATC",2024-09-30,16:35:00,"Monday","SHEPPARD STATION",0,0,NA,"YU",6111,"ATC RC&S Equipment",16,"Peak",NA,NA,"16:00",18.1,0
"39","EUATC",2024-12-10,06:36:00,"Tuesday","WILSON STATION",3,7,"S","YU",5481,"ATC RC&S Equipment",6,"Non-Peak",NA,NA,"06:00",4.9,0
"40","EUATC",2024-12-10,06:42:00,"Tuesday","YORKDALE STATION",3,6,"S","YU",5481,"ATC RC&S Equipment",6,"Non-Peak",NA,NA,"06:00",4.9,0
"41","EUATC",2024-09-09,06:00:00,"Monday","VAUGHAN MC STATION",4,8,"S","YU",5751,"ATC RC&S Equipment",6,"Non-Peak",NA,NA,"06:00",15.7,0
"42","EUATC",2024-12-10,08:46:00,"Tuesday","BLOOR STATION",7,9,"N","YU",6001,"ATC RC&S Equipment",8,"Peak",NA,NA,NA,NA,NA
