"","time","temperature_2m","precipitation"
"1","2024-01-01T00:00",1.3,0.3
"2","2024-01-01T01:00",1.3,0.6
"3","2024-01-01T02:00",1.3,0.5
"4","2024-01-01T03:00",1.3,0.3
"5","2024-01-01T04:00",1.3,0.2
"6","2024-01-01T05:00",0.9,0.2
"7","2024-01-01T06:00",0.1,0.2
"8","2024-01-01T07:00",-0.2,0.1
"9","2024-01-01T08:00",-0.8,0.1
"10","2024-01-01T09:00",-1.2,0
"11","2024-01-01T10:00",-1.4,0
"12","2024-01-01T11:00",-1.6,0
"13","2024-01-01T12:00",-1.8,0
"14","2024-01-01T13:00",-1.9,0
"15","2024-01-01T14:00",-1.9,0
"16","2024-01-01T15:00",-1.8,0
"17","2024-01-01T16:00",-1.7,0
"18","2024-01-01T17:00",-1.6,0
"19","2024-01-01T18:00",-1.2,0
"20","2024-01-01T19:00",-0.7,0
"21","2024-01-01T20:00",-0.5,0
"22","2024-01-01T21:00",-0.5,0
"23","2024-01-01T22:00",-0.5,0
"24","2024-01-01T23:00",-0.8,0
"25","2024-01-02T00:00",-1,0
"26","2024-01-02T01:00",-1.1,0
"27","2024-01-02T02:00",-1.4,0
"28","2024-01-02T03:00",-1.4,0
"29","2024-01-02T04:00",-1.3,0
"30","2024-01-02T05:00",-1.1,0
"31","2024-01-02T06:00",-1,0
"32","2024-01-02T07:00",-0.9,0
"33","2024-01-02T08:00",-0.6,0
"34","2024-01-02T09:00",-0.5,0
"35","2024-01-02T10:00",-0.3,0
"36","2024-01-02T11:00",-0.4,0
"37","2024-01-02T12:00",-0.4,0
"38","2024-01-02T13:00",-0.1,0
"39","2024-01-02T14:00",-0.2,0
"40","2024-01-02T15:00",0,0
"41","2024-01-02T16:00",0.5,0
"42","2024-01-02T17:00",1.2,0
"43","2024-01-02T18:00",1.8,0
"44","2024-01-02T19:00",2.3,0
"45","2024-01-02T20:00",2.5,0
"46","2024-01-02T21:00",2.4,0
"47","2024-01-02T22:00",2,0
"48","2024-01-02T23:00",1.6,0
"49","2024-01-03T00:00",1.1,0
"50","2024-01-03T01:00",0.6,0
"51","2024-01-03T02:00",0.4,0
"52","2024-01-03T03:00",0.2,0
"53","2024-01-03T04:00",0.2,0
"54","2024-01-03T05:00",0.3,0
"55","2024-01-03T06:00",0.6,0
"56","2024-01-03T07:00",0.8,0
"57","2024-01-03T08:00",0.9,0
"58","2024-01-03T09:00",1,0
"59","2024-01-03T10:00",1.2,0
"60","2024-01-03T11:00",1.4,0
"61","2024-01-03T12:00",1.4,0
"62","2024-01-03T13:00",2.2,0
"63","2024-01-03T14:00",1.8,0
"64","2024-01-03T15:00",1.7,0
"65","2024-01-03T16:00",1.9,0
"66","2024-01-03T17:00",2.1,0
"67","2024-01-03T18:00",2.3,0
"68","2024-01-03T19:00",2.5,0
"69","2024-01-03T20:00",2.5,0
"70","2024-01-03T21:00",2.6,0
"71","2024-01-03T22:00",2.7,0
"72","2024-01-03T23:00",2.6,0.1
"73","2024-01-04T00:00",2.3,0
"74","2024-01-04T01:00",2.2,0
"75","2024-01-04T02:00",1.7,0
"76","2024-01-04T03:00",1.3,0
"77","2024-01-04T04:00",1.8,0
"78","2024-01-04T05:00",1.3,0
"79","2024-01-04T06:00",0.9,0
"80","2024-01-04T07:00",0.2,0
"81","2024-01-04T08:00",-0.8,0
"82","2024-01-04T09:00",-1.6,0
"83","2024-01-04T10:00",-2.5,0
"84","2024-01-04T11:00",-3.6,0
"85","2024-01-04T12:00",-4.8,0
"86","2024-01-04T13:00",-4.7,0
"87","2024-01-04T14:00",-5.2,0
"88","2024-01-04T15:00",-5.2,0
"89","2024-01-04T16:00",-4.6,0
"90","2024-01-04T17:00",-4,0
"91","2024-01-04T18:00",-3.4,0
"92","2024-01-04T19:00",-2.9,0
"93","2024-01-04T20:00",-2.7,0
"94","2024-01-04T21:00",-2.7,0
